log_loss,brier,auc,n,year
0.6864185853598256,0.2401519174742946,0.6073046736022703,966,2016
0.6759232092814803,0.24115930416208559,0.6168741426260722,884,2017
0.6922607950558142,0.24922586944298675,0.5673225699497135,932,2018
0.6890946846598297,0.24153709572231621,0.6020899514459781,998,2019
0.6892625352406297,0.23796877717829493,0.6274342956186607,874,2020
0.6802311307045026,0.24361760300642038,0.6010199856976175,978,2021
0.7052372198018995,0.2367010649049407,0.6339181973126485,994,2022
0.7359397641261245,0.23708867902861352,0.6374016324141519,992,2023
0.6668391483619247,0.23733049897551264,0.6287167650162642,1006,2024
0.6712008506754213,0.2275011810973543,0.6846200853954697,1004,2025
