fold,n_val,log_loss_per_fold,log_loss_stacked,delta
2016,966,0.7218277987819702,0.6567454036305403,-0.06508239515142988
2017,884,0.6673814290904609,0.6649741553615918,-0.002407273728869175
2018,932,0.6887775441754044,0.6704843109359006,-0.018293233239503826
2019,998,0.6750575210552634,0.6737601634578342,-0.0012973575974292162
2020,874,0.6903034352211236,0.6652543257402752,-0.025049109480848375
2021,978,0.6702693488575907,0.6667112455476141,-0.0035581033099766346
2022,994,0.6440936305291872,0.6464245109542188,0.0023308804250316006
2023,992,0.7090055998067896,0.6508391223696954,-0.05816647743709413
2024,1006,0.6993742168214891,0.6509724334117603,-0.048401783409728893
2025,1004,0.6310699831562173,0.6315747877262974,0.0005048045700800641
