bin_mid,mean_pred,frac_pos,count
0.05,0.09571651918505632,0.07407407407407407,27
0.15000000000000002,0.1806358641479825,0.1834319526627219,338
0.25,0.2473257371983828,0.2462686567164179,134
0.35000000000000003,0.34141987476425656,0.34203875315922494,1187
0.45,0.45013704453046954,0.4498229043683589,3388
0.55,0.5565367137948167,0.5562065177590626,2731
0.6500000000000001,0.6560000197166561,0.6557734204793029,1377
0.75,0.7432484071680399,0.7619047619047619,63
0.8500000000000001,0.8121702968657377,0.8125,320
0.95,0.9045757893974552,0.9047619047619048,63
