fight_id,prop_type,side,market_class,our_prob,fair_implied,edge,decimal_odds,outcome,pnl_per_unit
6b0da0b1cda7799f,b_inside_distance,yes,inside_distance,0.2564176141987949,0.20804616124378905,0.048371452955005834,4.5,0,-1.0
6b0da0b1cda7799f,b_inside_distance,no,inside_distance,0.7435823858012052,0.791953838756211,-0.04837145295500578,1.1821493624772312,1,0.18214936247723124
6b0da0b1cda7799f,r_method_DEC,yes,method,0.3541971705155442,,0.10419717051554422,4.0,1,3.0
6b0da0b1cda7799f,b_method_DEC,yes,method,0.16587104336942052,,-0.05635117885280169,4.5,0,-1.0
6b0da0b1cda7799f,r_wins_round_1,yes,wins_round,0.11051467669945605,,-0.13948532330054395,4.0,0,-1.0
6b0da0b1cda7799f,b_wins_round_1,yes,wins_round,0.12678350321269563,,-0.027062650633458224,6.5,0,-1.0
6b0da0b1cda7799f,r_wins_round_2,yes,wins_round,0.06032357619415938,,-0.10634309047250728,6.0,0,-1.0
6b0da0b1cda7799f,b_wins_round_2,yes,wins_round,0.0692037885340087,,-0.04844327028952071,8.5,0,-1.0
6b0da0b1cda7799f,r_wins_round_3,yes,wins_round,0.05267591902262496,,-0.03823317188646595,11.0,0,-1.0
6b0da0b1cda7799f,b_wins_round_3,yes,wins_round,0.06043032245209054,,-0.0062363442145761255,15.0,0,-1.0
6b0da0b1cda7799f,ends_round_1,yes,ends_round,0.49444147434584274,,0.17186082918455242,3.1,0,-1.0
6b0da0b1cda7799f,ends_round_2,yes,ends_round,0.2698870307729973,,0.047664808550775095,4.5,0,-1.0
6b0da0b1cda7799f,ends_round_3,yes,ends_round,0.23567149488115996,,0.11067149488115996,8.0,0,-1.0
775c1f401815bbd8,total_rounds_1.5,over,total_rounds,0.13276636410948872,0.5768983268983269,-0.44413196278883815,1.6134969325153374,0,-1.0
775c1f401815bbd8,total_rounds_1.5,under,total_rounds,0.8672336358905113,0.4231016731016731,0.44413196278883815,2.2,1,1.2000000000000002
775c1f401815bbd8,distance,yes,distance,0.5875162234440436,0.4231016731016731,0.1644145503423705,2.2,0,-1.0
775c1f401815bbd8,distance,no,distance,0.41248377655595636,0.5768983268983269,-0.1644145503423705,1.6134969325153374,1,0.6134969325153374
775c1f401815bbd8,b_method_KO_TKO,yes,method,0.15980179201771413,,0.034801792017714134,8.0,0,-1.0
775c1f401815bbd8,r_method_KO_TKO,yes,method,0.13837064789872042,,-0.38769570281218,1.900900900900901,1,0.900900900900901
