fold,log_loss,auc,n_val
2016,0.7070454564132754,0.6073046736022703,966
2017,0.6759232091683581,0.6168741426260722,884
2018,0.6922607950558142,0.5673225699497135,932
2019,0.7090601725738164,0.6020899514459781,998
2020,0.7120606558792553,0.6274342956186607,874
2021,0.6802311302955046,0.6010199856976175,978
2022,0.7653747163948811,0.6339181973126485,994
2023,0.8363710023208977,0.6374016324141519,992
2024,0.6668391481631175,0.6287167650162642,1006
2025,0.7108931948744166,0.6846200853954697,1004
