fight_idx,bet_side,our_prob,implied_prob,edge,kelly_frac,bet_amount,pnl,bankroll,outcome
4654,A,0.48155921146351977,0.3921568627450981,0.08940234871842168,0.036770320843866985,36.77032084386698,-36.77032084386698,963.229679156133,0
4655,A,0.4330915879662529,0.4,0.03309158796625289,0.01378816165260538,13.281166524791976,-13.281166524791976,949.948512631341,0
4656,A,0.5426006784379936,0.36363636363636365,0.17896431480163,0.07030740938635464,66.78841897353038,-66.78841897353038,883.1600936578106,0
4657,A,0.48142392155704616,0.4347826086956522,0.046641312861393946,0.020629811457924255,18.21942621932336,23.685254085120363,906.845347742931,1
4658,B,0.4332740740198714,0.3802281368821293,0.05304593713774208,0.02139736421353707,19.40410019100717,-19.40410019100717,887.4412475519239,0
4659,B,0.43899659748467024,0.3472222222222222,0.09177437526244803,0.0351476330792354,31.191459348333932,-31.191459348333932,856.2497882035899,0
4661,B,0.3068809631449825,0.23094688221709003,0.07593408092789244,0.024684277058391463,21.135907003206423,70.3825703206774,926.6323585242673,1
4662,B,0.5692459244120445,0.5652173913043478,0.004028533107696686,0.002316406536925605,2.1464572526124037,-2.1464572526124037,924.4859012716548,0
4663,B,0.5636221510378248,0.47619047619047616,0.0874316748473486,0.04172875390441636,38.577644662267446,42.43540912849419,966.921310400149,1
4664,A,0.4756028032404645,0.3389830508474576,0.1366197523930069,0.05167029096915004,49.96110545264754,-49.96110545264754,916.9602049475014,0
4665,B,0.5184157910420905,0.2857142857142857,0.23270150532780476,0.08144552686473168,74.6823070059416,-74.6823070059416,842.2778979415598,0
4666,B,0.4471296050136292,0.35460992907801425,0.09251967593561494,0.035838665678356356,30.186115992596317,54.938731106525296,897.2166290480851,1
4667,B,0.45145671357603323,0.2590673575129533,0.19238935606307994,0.06491459041988534,58.24244999256665,-58.24244999256665,838.9741790555184,0
4668,B,0.4573744718810824,0.31055900621118016,0.14681546566990222,0.05323713957850059,44.66458547313658,-44.66458547313658,794.3095935823819,0
4669,A,0.5550449672360096,0.5238095238095238,0.031235443426485765,0.01639860779890506,13.025571496065156,11.841428632786506,806.1510222151684,1
4670,B,0.4366517622287641,0.3802281368821293,0.05642362534663481,0.02275983660454749,18.347865544206165,29.90702083705605,836.0580430522244,1
4671,A,0.3146127212246025,0.3125,0.0021127212246024873,0.0007682622634918261,0.6423118445658486,1.413086058044867,837.4711291102693,1
4673,B,0.5726126022250868,0.5652173913043478,0.007395210920739026,0.004252246279424939,3.5611334928849456,2.7393334560653435,840.2104625663346,1
