wc,age_int,win_rate,n
welterweight,36,0.47368421052631576,95
welterweight,37,0.3384615384615385,65
welterweight,38,0.41509433962264153,53
welterweight,39,0.2727272727272727,22
welterweight,40,0.25,16
welterweight,41,0.6,10
welterweight,42,0.2,5
women's bantamweight,21,0.0,2
women's bantamweight,22,0.8,5
women's bantamweight,23,0.4166666666666667,12
women's bantamweight,24,0.4,10
women's bantamweight,25,0.631578947368421,19
women's bantamweight,26,0.6818181818181818,22
women's bantamweight,27,0.5405405405405406,37
women's bantamweight,28,0.6097560975609756,41
women's bantamweight,29,0.5416666666666666,48
women's bantamweight,30,0.4594594594594595,37
women's bantamweight,31,0.5,38
women's bantamweight,32,0.4146341463414634,41
women's bantamweight,33,0.625,32
women's bantamweight,34,0.4,40
women's bantamweight,35,0.46875,32
women's bantamweight,36,0.45,20
women's bantamweight,37,0.46153846153846156,13
women's bantamweight,38,0.3333333333333333,6
women's bantamweight,39,0.6666666666666666,3
women's bantamweight,40,0.2857142857142857,7
women's bantamweight,41,0.5,4
women's bantamweight,42,0.0,1
women's flyweight,21,0.75,4
women's flyweight,22,0.6363636363636364,11
women's flyweight,23,0.72,25
women's flyweight,24,0.391304347826087,23
women's flyweight,25,0.5172413793103449,29
women's flyweight,26,0.6428571428571429,28
women's flyweight,27,0.4594594594594595,37
women's flyweight,28,0.5405405405405406,37
women's flyweight,29,0.5581395348837209,43
women's flyweight,30,0.4375,48
women's flyweight,31,0.5294117647058824,51
women's flyweight,32,0.5319148936170213,47
women's flyweight,33,0.3958333333333333,48
women's flyweight,34,0.3939393939393939,33
women's flyweight,35,0.38461538461538464,26
women's flyweight,36,0.45454545454545453,22
women's flyweight,37,0.7692307692307693,13
women's flyweight,38,0.2857142857142857,7
women's flyweight,39,0.0,3
women's flyweight,41,0.0,1
women's strawweight,21,0.6666666666666666,6
women's strawweight,22,0.36363636363636365,11
women's strawweight,23,0.7272727272727273,22
women's strawweight,24,0.6333333333333333,30
women's strawweight,25,0.5365853658536586,41
women's strawweight,26,0.4878048780487805,41
women's strawweight,27,0.5818181818181818,55
women's strawweight,28,0.5689655172413793,58
women's strawweight,29,0.5584415584415584,77
women's strawweight,30,0.4189189189189189,74
women's strawweight,31,0.47368421052631576,57
women's strawweight,32,0.4642857142857143,56
women's strawweight,33,0.5476190476190477,42
women's strawweight,34,0.4857142857142857,35
women's strawweight,35,0.4117647058823529,34
women's strawweight,36,0.4,25
women's strawweight,37,0.3888888888888889,18
women's strawweight,38,0.25,12
women's strawweight,39,0.14285714285714285,7
women's strawweight,40,0.25,4
women's strawweight,41,0.0,1
